Date,Time,Open ,High,Low,Close,Volume,Open Interest
20251205,09:57,1525.1,1525.7,1524.7,1524.8,17227,0
20251205,09:58,1524.7,1524.8,1524.1,1524.1,21148,0
20251205,09:59,1523.8,1523.8,1523,1523,24568,0
20251205,10:00,1523,1523.1,1522.1,1522.7,25558,0
20251205,10:01,1522.8,1524.4,1522.8,1524.2,28941,0
20251205,10:02,1524.2,1524.8,1523.1,1524.2,45597,0
20251205,10:03,1524.2,1525.2,1524,1525.2,12436,0
20251205,10:04,1525.9,1528.1,1525.9,1527.1,52816,0
20251205,10:05,1526.9,1527.9,1525.8,1526.5,19212,0
20251205,10:06,1526.5,1527.1,1526,1526.3,42150,0
20251205,10:07,1526.1,1526.7,1525,1526,22570,0
20251205,10:08,1526,1526,1524.6,1525,9685,0
20251205,10:09,1524.7,1525.9,1524.6,1525.6,14336,0
20251205,10:10,1525.4,1525.4,1524.3,1524.3,11696,0
20251205,10:11,1524.3,1525.9,1524.3,1525.2,8213,0
20251205,10:12,1525.7,1525.9,1525,1525.7,9109,0
20251205,10:13,1525,1526.4,1525,1525.5,11361,0
20251205,10:14,1525.6,1526.4,1525.2,1526.2,6647,0
20251205,10:15,1525.9,1528.8,1525.9,1528.3,31938,0
20251205,10:16,1528.3,1529.6,1528.1,1529.4,28029,0
20251205,10:17,1529.4,1530.8,1529.1,1529.5,39257,0
20251205,10:18,1529.2,1530,1529.1,1529.8,14766,0
20251205,10:19,1529.4,1530,1528.9,1529.6,19712,0
20251205,10:20,1529.6,1530,1529.3,1529.7,7838,0
20251205,10:21,1529.6,1529.9,1529.6,1529.6,9658,0
20251205,10:22,1529.7,1529.8,1529.1,1529.3,23985,0
20251205,10:23,1529.3,1529.7,1528.5,1529.3,16031,0
20251205,10:24,1529.4,1529.9,1529.1,1529.6,14664,0
20251205,10:25,1529.4,1529.6,1529.2,1529.6,10275,0
20251205,10:26,1529.3,1530,1529.3,1529.9,10144,0
20251205,10:27,1529.9,1529.9,1529.3,1529.3,6476,0
20251205,10:28,1529.3,1529.5,1528.2,1528.5,26613,0
20251205,10:29,1528.4,1528.6,1525.4,1525.5,32590,0
20251205,10:30,1525.5,1525.8,1524,1524,32262,0
20251205,10:31,1524.2,1525.7,1523.3,1525.2,38073,0
20251205,10:32,1524.8,1525.8,1524.7,1524.7,14061,0
